OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,,,id_1,id_2,obj_id
163,105,IND,India,11,Gujarat,163,The Dangs,IN.GJ.DG,NA,,District,District,,Dangs,,,11,163,163
164,105,IND,India,11,Gujarat,164,Vadodara,IN.GJ.VD,NA,,District,District,,Baroda,,,11,164,164
165,105,IND,India,11,Gujarat,165,Valsad,IN.GJ.VL,NA,,District,District,,Bulsar|Walsad,,,11,165,165
166,105,IND,India,12,Haryana,166,Ambala,IN.HR.AM,NA,,District,District,,,,,12,166,166
167,105,IND,India,12,Haryana,167,Bhiwani,IN.HR.BH,NA,,District,District,,,,,12,167,167
168,105,IND,India,12,Haryana,168,Faridabad,IN.HR.FD,NA,,District,District,,,,,12,168,168
169,105,IND,India,12,Haryana,169,Fatehabad,IN.HR.FT,NA,,District,District,,,,,12,169,169
170,105,IND,India,12,Haryana,170,Gurgaon,IN.HR.GG,NA,,District,District,,,,,12,170,170
171,105,IND,India,12,Haryana,171,Hisar,IN.HR.HI,NA,,District,District,,,,,12,171,171
172,105,IND,India,12,Haryana,172,Jhajjar,IN.HR.JH,NA,,District,District,,,,,12,172,172
173,105,IND,India,12,Haryana,173,Jind,IN.HR.JI,NA,,District,District,,,,,12,173,173
174,105,IND,India,12,Haryana,174,Kaithal,IN.HR.KT,NA,,District,District,,,,,12,174,174
175,105,IND,India,12,Haryana,175,Karnal,IN.HR.KR,NA,,District,District,,,,,12,175,175
176,105,IND,India,12,Haryana,176,Kurukshetra,IN.HR.KU,NA,,District,District,,,,,12,176,176
177,105,IND,India,12,Haryana,177,Mahendragarh,IN.HR.MA,NA,,District,District,,"Mahendergarh, Mahendragarth, Mohindargarh, Mohindergarh",,,12,177,177
178,105,IND,India,12,Haryana,178,Mewat,IN.HR.MW,NA,,District,District,,,,,12,178,178
179,105,IND,India,12,Haryana,179,Palwal,IN.HR.PW,NA,,District,District,,,,,12,179,179
180,105,IND,India,12,Haryana,180,Panchkula,IN.HR.PK,NA,,District,District,,,,,12,180,180
181,105,IND,India,12,Haryana,181,Panipat,IN.HR.PP,NA,,District,District,,,,,12,181,181
182,105,IND,India,12,Haryana,182,Rewari,IN.HR.RE,NA,,District,District,,,,,12,182,182
183,105,IND,India,12,Haryana,183,Rohtak,IN.HR.RO,NA,,District,District,,,,,12,183,183
184,105,IND,India,12,Haryana,184,Sirsa,IN.HR.SI,NA,,District,District,,Sirasa,,,12,184,184
185,105,IND,India,12,Haryana,185,Sonipat,IN.HR.SO,NA,,District,District,,Sonipat,,,12,185,185
186,105,IND,India,12,Haryana,186,Yamunanagar,IN.HR.YN,NA,,District,District,,,,,12,186,186
187,105,IND,India,13,Himachal Pradesh,187,Bilaspur,IN.HP.BI,NA,,District,District,,,,,13,187,187
188,105,IND,India,13,Himachal Pradesh,188,Chamba,IN.HP.CH,NA,,District,District,,,,,13,188,188
189,105,IND,India,13,Himachal Pradesh,189,Hamirpur,IN.HP.HA,NA,,District,District,,,,,13,189,189
190,105,IND,India,13,Himachal Pradesh,190,Kangra,IN.HP.KA,NA,,District,District,,,,,13,190,190
191,105,IND,India,13,Himachal Pradesh,191,Kinnaur,IN.HP.KI,NA,,District,District,,Kalpa,,,13,191,191
192,105,IND,India,13,Himachal Pradesh,192,Kullu,IN.HP.KU,NA,,District,District,,,,,13,192,192
193,105,IND,India,13,Himachal Pradesh,193,Lahul & Spiti,IN.HP.LS,NA,,District,District,,,,,13,193,193
194,105,IND,India,13,Himachal Pradesh,194,Mandi,IN.HP.MA,NA,,District,District,,,,,13,194,194
195,105,IND,India,13,Himachal Pradesh,195,Shimla,IN.HP.SH,NA,,District,District,,Simla,,,13,195,195
196,105,IND,India,13,Himachal Pradesh,196,Sirmaur,IN.HP.SI,NA,,District,District,,Sirmour|Sirmoor|Sirmur,,,13,196,196
197,105,IND,India,13,Himachal Pradesh,197,Solan,IN.HP.SO,NA,,District,District,,,,,13,197,197
198,105,IND,India,13,Himachal Pradesh,198,Una,IN.HP.UN,NA,,District,District,,,,,13,198,198
199,105,IND,India,14,Jammu and Kashmir,199,Anantnag,IN.JK.AG,NA,,District,District,,,,,14,199,199
200,105,IND,India,14,Jammu and Kashmir,200,Badgam,IN.JK.BD,NA,,District,District,,,,,14,200,200
201,105,IND,India,14,Jammu and Kashmir,201,Bandipore,IN.JK.BP,NA,,District,District,,,,,14,201,201
202,105,IND,India,14,Jammu and Kashmir,202,Baramulla,IN.JK.BL,NA,,District,District,,,,,14,202,202
203,105,IND,India,14,Jammu and Kashmir,203,Doda,IN.JK.DD,NA,,District,District,,,,,14,203,203
204,105,IND,India,14,Jammu and Kashmir,204,Ganderbal,IN.JK.GA,NA,,District,District,,,,,14,204,204
205,105,IND,India,14,Jammu and Kashmir,205,Jammu,IN.JK.JM,NA,,District,District,,,,,14,205,205
206,105,IND,India,14,Jammu and Kashmir,206,Kargil,IN.JK.KR,NA,,District,District,,,,,14,206,206
207,105,IND,India,14,Jammu and Kashmir,207,Kathua,IN.JK.KA,NA,,District,District,,,,,14,207,207
208,105,IND,India,14,Jammu and Kashmir,208,Kishtwar,IN.JK.KW,NA,,District,District,,,,,14,208,208
209,105,IND,India,14,Jammu and Kashmir,209,Kulgam,IN.JK.KG,NA,,District,District,,,,,14,209,209
